EtOH_pct	OD_550	species
0	0.8635	E_coli
2	0.6545	E_coli
4	0.637	E_coli
6	0.1401	E_coli
8	0.0692	E_coli
10	0.0624	E_coli
12	0.0557	E_coli
14	0.0521	E_coli
16	0.0511	E_coli
18	0.0493	E_coli
20	0.0476	E_coli
0	2.0503	Z_mobilis
2	2.0354	Z_mobilis
4	2.0206	Z_mobilis
6	2.0219	Z_mobilis
8	0.9224	Z_mobilis
10	0.3437	Z_mobilis
12	0.1051	Z_mobilis
14	0.0876	Z_mobilis
16	0.0859	Z_mobilis
18	0.0843	Z_mobilis
20	0.084	Z_mobilis
0	2.0503	L_heterohiochii
2	2.0435	L_heterohiochii
4	1.9967	L_heterohiochii
6	2.0299	L_heterohiochii
8	2.0152	L_heterohiochii
10	2.0085	L_heterohiochii
12	2.0097	L_heterohiochii
14	1.196	L_heterohiochii
16	0.4864	L_heterohiochii
18	0.2033	L_heterohiochii
20	0.1269	L_heterohiochii
22	0.0827	L_heterohiochii
25	0.0704	L_heterohiochii
